Comment,Liked
It was a very bad phone and swallowed its battery,0
it exploded while charging and its screen and battery burned,0
"It was a junk that was installed by itself. A virus could have flashed a thousand times, but it did not work",0
"The page broke down, and a few of the large, full-colored lines on the page were not correct with the flash",0
The function of the handset is impaired and does not work properly,0
Android phones have a bit of life and soon become out of date. I got this miserable experience,0
"If I'm looking for a long-life, high-speed device without a virus and a high-speed hack, I'd recommend",1
"I'm bored, I've sold it, I did not go, I could not do anything right, I did not download anything right",0
its no good and not used in Iran,0
Extremely fast and easy to use. High-performance features,1
"The speed of Apple's outstanding performance and unique apps, you can use it without dropping the speed of a few years.",1
"Super, Deluxe, Excellent, Excellent, not comparable to any phone, not even the best",1
"It hangs, so many apps get crashed, it's getting too hot, it gets hot",0
"In the case of an update, the speed of the handset is a bit trickier.",1
The really best friends may not bring you anything,1
"It's easy to answer for a few years and you do not need to change the phone, and at all, you can not play it down, this phone is a giant in every sense",1
I really had a lot of restrictions on my god's price,0
High-speed camera strong psyche,1
"It's too late to charge the battery, which is a result of continuous operation, which is very powerful with a low capacity battery",0
Lack of fast charging is not a waterproof file manager,0
High prices are unobtainable and without reason,0
"Most facilities are useless for the Iranians, so disappointed.",0
The lack of a Persian keyboard easily slips from Leicester,0
There is no support for Persian language at a time when there is not even a keyboard called Persian among its options,0
"I have to tell you, do not hesitate to buy",1
"The phone is very classy and stylish, especially the color of the gold that is great",1
The strength point is nothing too weak,0
It is very fluid and tasty and a very valuable upgrade for me,1
Really everything is very beautiful and wonderful,1
"It does not look nice at all, in terms of efficiency",0
"Really good phone, Apple has a very high class, it's also very nice",1
It's just the class. It's just nothing. It only takes the brand money,0
It was very hot until the next month the phone was turned off and it did not turn on,0
I'm so sorry I'm not satisfied,0
Unique and outstanding navigation sensor on any device,1
Productivity in the formulation and application synchronization of the minimum leg and sticks while running multiple applications.,1
Shelf life from morning to night for a battery that will last for a full day's full-time use,1
The tactile functionality brings with it its distinctive performance,1
It could be distinguished by the excellent coordination of hardware and software,1
"The durability and durability of its body, as well as the durability of its charger and handsfree cable, which is a kind of boxing wire of its kind",1
Relatively high prices on peripherals,0
"The Chinese brands are lower, as expected, was not welcomed",0
"Really, I'm really pleased with the smartphone",1
I got this phone a month and it's really great,1
it crashed went on hanging out,0
"It's all about getting the user to enjoy the handset, and so much the software and hardware of the handset are in sync, that you never see the hang of a stick on the phone",1
"I personally love my three-dimensional touch, making my work faster",1
"In one word, the best mobile brand in terms of manufacturing quality software",1
Extreme speeds run even at the same time,1
The high quality of the build is very beautiful,1
"I've got this phone for more than a year, and I'm using it, fairly everything is great and I'm satisfied, speed, camera quality, innovation, everything.",1
Its main disadvantage is battery charging,1
Exaggerated and over-saturated camera quality down.,0
The top factor of this handset is its flagship operating system and hardware and security compatibility,1
"In all respects, it's really great to have a great build quality, a high quality display and camera",1
"Good progress has been made, such as faster processors, water resistance, and, to some extent, the development of the camera in low light",1
The 3D touch technology of this handset is very functional,1
Its camera Good operating system. The quality of the right parts. up to date. Stylish,1
"I've got four months old, I can safely say it's best in its own right",1
I would be very happy to offer you,1
File transfer to phone is not easy,0
"I'm getting used to it by my phone, and it's pretty cool. It does not mean the camera is a great hardware.",1
Apps are difficult and you can not easily work with them,0
There are a lot of misunderstandings about this handset and it's not recommended for the entire purchase,0
The point is not high and very poor quality and poor.,0
"I bought and used a month, but then I sold it was not good",0
It ignores the needs of a large category of users and does not eliminate them,0
Extremely high speed in the performance of the programs. Superior screen quality without any hangs,1
"The camera is really awesome, the features of the live images are still in the limelight",1
Do not hesitate to buy this handset this price range is undoubtedly the right option,1
The limitations that this model has given me is to stop buying it. It's hard to use,0
The handset is very hot and sometimes it burns,0
"Contrary to popular belief, the battery is not weak at all. The camera does not really speak",1
This handset is very nice and it's perfectly fun to work with,1
Bluetooth does not have to download the data that it's time to download.,0
"I've got this phone for four months, which is really great, so far I have not seen any weaknesses",1
Precise and fast fingerprinting of terri-dactyl and fast-life,1
Excellent camera with excellent camera features with unrivaled features,1
"After a long break, the hang of speed slowed down to find the virus",0
From the beginning he had a bug and a lagg,0
"Memory and SIM card were damaged. Android is something like a toy, and the operating system is nonsense and it soon crashes the phone.",0
"Good body design and good looks, lightweight, good battery, good battery life and good handsfree",1
Waterproof is not very hot and it costs a lot,0
The hardware is very weak and can not do anything in vain,0
"The handset does not process any process, and it does not hurt at all",0
The whole range of handsets is not too waterproof and waterproof is one of the bad guys in this device,0
"Unlike competitors, this phone does not have a memory card, and this problem makes the device use internal storage",0
Another problem with this product is the lack of Persian language and if an Iranian who does not know foreign languages can not use this product.,0
Supernatural speed imagination excellent sound quality,1
It really is far from the present that everything is all about,1
"All of Apple's strengths include core CPUs, camera and audio playback, appearance",1
Beautiful Cheerful Lovely Running Run,1
"Very good camera, high definition in very high speed recording",1
"I wish the battery capacity was better, too weak",0
The lack of resistance to moisture and water is really a great weakness that can be destroyed by a simple tap water.,0
"Poor battery, poor battery charger, no resistance to water",0
Flexible and fast operating system. Beautiful appearance. Excellent build quality,1
"Variety of accessories, especially the various frames, lack of hug, strong support for newer versions",1
Low-power Salafi Low-Power Battery,0
The battery is weak after a year of operation and it's getting loose sooner than the first days of using this handset,0
App Store is sometimes closed for Iran's IP and can not download it,0
Great body shape with a strong battery design,1
Camera bumps are very expensive accessories,0
OS restrictions Occasional blocking of the Apple store for sanctions,0
Sophisticated 3D touch is not at all efficient,0
The handset is very good and good. It has a beautiful design and is very efficient,1
"If you can not pay for it, do not worry about buying it.",1
A big amount of front camera could have been better,0
"Touches the highest quality and efficiency, and the highest technology is the advantage",1
The most beautiful and smartest phone is always the best.,1
High-performance chip high quality super-high battery life,1
Retina flash and slightly curved plate in a great word,1
Beautiful design and high speed touch camera ID camera and good selfie camera,1
The protruding camera lens has a lot of weight,0
"Strong, low-noise camera with much faster and more practical applications than Android",1
"Camera: High-performance, high-quality photos, great video recording, awesome slam calls",1
"A fast, flowing, unregulated operating system for those who are tired of being sluggish",1
"Quality of construction: good body and metal body, convenient placement of buttons, high quality and responsive display under sunlight",1
Hanging the phone is heavily nervous,0
This handset is superb at great price,1
It does not work well and ruins my eyes,0
The really fastest touchscreen really needs to be tested so you can figure out what's going on. It's also a really interesting 3-D touch and makes the cartoon faster and better.,1
The original Salafi camera has changed a lot and is much better than before,1
"In terms of processors, which is really great, and there's nothing to be fooled, the resolution of the screen is much better, and you see everything at noon in the sun.",1
The quality of the camera and the bottom of the screen is not good.,0
Transparency of the page is an eye-catching and eye-catching.,1
"In my opinion, this handset has all the capabilities of a good, modern and efficient handset",1
"Ultra-powerful hardware, great operating system and its unique features",1
"There is no lag in the top, and there is a phone in its entirety",1
Restrictions on downloading files from the Internet and limiting communication and file transfer with devices,0
Really working with it is because of the speed of its IOS operating system,1
Apple currently uses the best technology and the best parts to make its handsets,1
"After a few hours of wearing out parts, it's hard to do with two hands",0
Superior rear and rear camera. High quality display. Superior processing power,1
The answer is very fast and unparalleled to all commands,1
The quality of the build quality of software and operating system is very fluid and excellent,1
Easy to use fingerprint sensor very accurate and fast,1
"In all respects, the strengths of all of what I have said are true and the strengths are really great",1
The battery is modest in terms of its mid-volume speaker volume,0
The prominence of the camera is good and not good,0
This handset has nothing short of speed and security,1
It was really great for me to buy it very well,1
Sophisticated interface The page quality is very low,0
"Its design does not make any changes to the previous model. In my opinion, this handset is very close to its own",0
I bought this handset first. It's really a great battery. It's a day with heavy use and two days using the Dome-style,1
The touch of the three-dimensional phone boosts the phone's weight. It's an outstanding lens,0
"I'm new, I'm very satisfied with it. It's really a good phone",1
High-resolution camera for awesome and very smooth hardware,1
The operating system is superb and synchronized with stable hardware,1
"The body and glass of the phone are excellent, the anti-lens of the lens",1
"The quality of the image, which does not mean to the camera, which is much weaker than the other cameras",0
"Just because famous people are famous and well-groomed, and people are biting, it's really not worth buying at a price.",0
Elegant design with high quality and classy performance,1
"After the new update, the battery will be empty and the weak spot",0
"In all respects, it's worth buying because of its very powerful hardware",1
It's much better and more refined and best seller. Excellent overall and very stylish,1
"Everything is great, I'd recommend to buy",1
There is no disadvantage without hesitation. Ordering the body,1
Extremely hands-on and nice performance at fast running apps,1
"This is the most appropriate size of the handset, as well as its beautiful design.",1
Ultra-functional design and full hardware alignment with the ergonomic phone software in the true sense,1
"I wish his body was made of titanium, not aluminum",0
This handset is thought out and well-designed and accurately designed,1
Fluffy and fast appearance is superbly appetizing,1
"If you want to play with it or heavier performance, the side of this handset will not be too comfortable for gaming",0
"It's been a week since I bought it, and you've been sitting so hard at this time, really worth the money I've given",1
The good quality of a good camera is a superb high-speed battery,1
This handset is very elegant and has a great and powerful software,1
"After a week's work, I got bored with her. Did not meet my expectations.",0
"Its weaknesses are bigger than its strengths, and it has its own grievances",0
"In the making of this handset, there is a mistake and the final product is incomplete",0
It's really a really great phone. It's not too much for friends to say,1
Excellent home screen speaker quality,1
I bought a high speed after a bit of research and I'm quite pleased,1
"The camera is fantastic. Its selfies are fairly acceptable in dark places, but the main camera is great",1
"Filming is very good, and at no time will your video shake, and you take the parachute particles on your screen, and the microphone is a great camera.",1
Antenna is good and can not be disconnected,1
"Really good resolution, the quality of the sound of the call and the speaker is very good",1
Many menus and programs run smoothly and do not tick,1
Break the edges or leave the plate or paint it,0
It's very heavy and ticking and its menu or the whole phone is not smooth,0
There are numerous software bugs that make the user tired and tired,0
Big bangs and legs are often unbearable at times,0
The high price we are considering is not worth buying and it's unreasonable to buy it with Iran.,0
I'm sorry to buy it. It does not work well,0
The phone is good. All the facilities. Good and good choice,1
Fingerprint Sensor Properly fits perfectly between software and hardware,1
Superior appearance is a great battery,1
The finger sensor changes and has a much better performance,1
The selfie camera has a low noise and low noise condition. Power Laugh was,0
It's easy to type and handle it. It's very nice,1
Selfie camera is not interesting if you already had a big screen phone,0
The value of a high purchase compared to a superb performance price,1
"A good choice for those who are a durable, high quality, yet efficient and stylish handset.",1
"After a while, he loses his speed.",0
Low power hardware and the inability to run heavy games and games.,0
The low processing power of this handset is disappointing and does not meet expectations,0
"After a month of using a low altitude, I leaped from my hand and fell to the ground and the page defeat was cracked and could no longer be used.",0
The warranty and support are very poor and unfortunately do not pay attention to customer demands.,0
Slow down is not meaning and it's really smooth and it's fun.,1
"In a word, in the true sense of the handset, it's a good quality. You do not doubt it, even for a moment",1
A lot of margins around the screen. Old is gone,0
"The camera is good, but it could have been stronger. The speakerphone's loudness could have been stereo and taller.",0
Very good speed and no hang. Very suitable size.,1
"Build quality is very good. Main camera is very high quality in all optical conditions, even with no optical stabilizer",1
Do not get hot in the usual use. I'm completely satisfied with the use of it in six months.,1
The front camera is weak. Old design,0
"The camera at this time is not Okay, it's a little bit less than a competitor",0
Everything that I expect from a phone is great,1
The high build quality and the really low weight of the compact phone,1
"The camera and the Selfie are very nice and pleasing, along with the slamous feature",1
High processing power for all applications Battery suitable for everyday tasks,1
"OS updates are as well as possible, and during these updates, the device's performance is much higher.",1
"Its salfic quality is really amazing, in general, it's a great phone",1
"There's just one issue that is, the amount of interaction with Windows is a bit trickier",0
As always unbelievable. Strong security camera,1
Definition is not necessary. Strong sound of a powerful battery. Unique hardware,1
The features of this handset eliminate many of the everyday needs and are superbly designed and beautifully designed,1
"In terms of price, it's also a good idea for those who are looking for a good, durable, beautiful and efficient phone, I would recommend buying",1
"Beautiful design, high functionality, integrated and efficient operating system, very good body shape",1
The body of the phone is plastic and it's not a decent design.,0
Weaknesses are design for a kid and a mockery that does not suit Adam's taste,0
The price of this product is not fixed and there are many fluctuations and may decrease in the future. I recommend not buying it yet,0
Do not buy this phone at all. You will be pleased to tell us,0
A weak battery that does not even get up to a day everywhere and you always need a charger or power bank,0
The price of the handset and accessories is very high and not economical,0
Weaker performance than competitors and not enough effort to satisfy customer satisfaction,0
"Due to Apple's registry plan, the iPhone is scarce, and even the seller can not be sure",0
One of the most famous smartphone brand with a great operating system,1
"I love this handset, while retaining the authenticity of the brand's popular features as well as reasonable prices",1
"Take this handset away from fashion-fashion-changing Apple's just enjoying it. In my opinion, that's not the point.",1
Reliable and addictive operating system for durable battery life,1
High speed in doing all the work the right size,1
The camera sensor and specs are great for recording the best and most memorable photos,1
"It's really nice and safe, and you will never get tired of it.",1
"Apple's timely and up-to-date updates improve the phone's performance and enhance the security of the operating system, and the user's imagination is easy.",1
"The handset is very warm and it gets hot, which burns your hand.",0
"A reliable, beautiful and fast phone with excellent camera",1
If you have limited funds or the future of the phone is not important for you,0
"It's easy to think of the strength of the body, and that the size is such that it fits in a beautiful hand, and there's no need to worry about falling and slipping in my hand.",1
"The camera does not make any mistake, especially the serious selfie camera",1
The camera is poor and inadequate and has many problems,0
"I've been buying this handset for about a month after a brief investigation, and I have to say I'm not happy and if I could have chosen something better.",0
"It's a month that I bought, it's really a smartphone with strong hardware",1
Unparalleled in all respects. I suggest that you do not miss the compactness of the handset and everything you like,1
The smartest and best operating system is the world's most flavored device and it works with a comfortable hand.,1
The phone is both great in looks and well-liked,1
"Given this price point, if you want a great, great, and reliable phone",1
The phone is very good and its price is right,1
In terms of coloring it is also very versatile and the size of page 6.1 is so great that I think it's great!,1
That's a great powerful camera,1
"Its original price should be lower than this, with that XS money, with twice as much of it, that's the price of the X-that's not cheap.",0
Excellent chipset camera. Excellent battery life. Wireless charging and fast charging,1
"A bit of screen margin is more than the other two, because it's not able to see HD content on the Internet.",0
It's just a matter of time to see if you're looking at it right away.,1
"I bought it for two months, I would recommend it",1
The handset is ultra-high-quality and up-to-the-minute and it's just that it's impossible to drop the external memory.,1
"With the dollar rising, noone can buy it too expensive",0
"It's great, but it's very hard to afford its expencive",0
"That's very beautiful, the golden color of this product is also more beautiful",1
Not having a very high price innovation. Do not have a Persian menu,0
Do not have a user interface slot not user friendly,0
"Now, there is nothing new except for the style to deliver, which is not important for an advanced user who needs performance and performance.",0
What's expected of a pioneering smartphone as the flagship of today is that it's almost unrivaled and offers all the top technological innovations to competitors.,0
"In contrast, Chinese, Korean and Japanese competitors have nothing to say",0
A conservative phone with a cane that uses the technology of last year,0
The low-resolution display is much higher than the current leading-edge handsets,0
The screen quality is lower than the current leading position of the camera and sensor inside the screen,0
"Low-resolution sal AF camera with OS and Interface, which is still not a user friendly",0
Original camera with a low resolution SD card slot to add storage space,0
Not having a Persian menu that is necessary for many Iranian users and did not do so due to Apple's political origins.,0
Do not have a camera with a wide lens without a dual selfie camera with a low battery charge,0
Not having an FM radio without having a normal headphone output on the body and having to use a conversion for other headphones,0
"Extremely limited limitations for a very limited Bluetooth user, especially in sending and receiving files and images and video",0
Beautiful dual-brand brand name,1
"More importantly, the operating system, which is slightly weaker, is more like a prison because it does not have access to anything. Hope to be better",0
"It has a great graphic processor, it's excellent and there's no weakness",1
"I have this phone, I'm so pleased with it, and I do not speak good games like Pabni and Fortinite, I'm great I love him.",1
"In terms of beauty, elegance and quality, no brand is as much as that. Do not hesitate to make a genuine brand and a luxury item in your purchase",1
"This great phone, I suggest you buy your home country",1
All-glass structure of super size with good display efficiency,1
The quality of construction and high facilities and beautiful appearance,1
The high price of highlighting the camera weighs a little too much,0
I got this phone and I'm very pleased.,1
The handset is very robust in all respects and is quite affordable in terms of memory capacity.,1
Very suitable for use as phablet and unmatched for gaming,1
"By the year before, it would be all about buying it with all its high prices. But this price is not really reasonable for buying, and little can buy it.",0
"Since the home button was removed from it, authenticity and specificity also disappeared",0
"Well, but not worth it with this price",0
Just looking for more profits and reducing the quality of the product,0
"I've come up with software updates, I can say that even once did not hang around",1
"It makes you feel good, quality and facilities is not enough and disappointing",0
The larger size and the richer and more robust hardware are advanced,1
The quality of the camera and the speed of the phone is just unique and unique,1
good It is really great at all,1
Superior screen quality crazy screen,1
The camera's emergence and weak battery are its weaknesses,0
Its features are so low that it does not cost much at all,0
"If you can buy it, do not hesitate to buy it",1
Regular and excellent updates and system security,1
Flexible user interface and user friendly. Good quality camera,1
Very simple and user-friendly interface,1
The system is not smooth and the code is faulty and incomplete,0
Materials are of no quality and not durable,0
The company did not succeed in making this product proud and not successful,0
The low-end processor is not so good just the class,0
"Very low charge, eliminating hands-free conversion, is also very high",0
AI is strong and it's a great phone,1
I saw very well that it was not nice. The processor is weak,0
The charging speed is very low and does not reverse charge,0
Varied and beautiful colors and high build quality due to the use of high quality metal and glass and covering the front and back surfaces,1
"Extremely large display with a very good and excellent quality, which is very absorbed by the body, and the low resolution of the cut-out display and super-processor",1
High price does not support camera lens memory card,0
"So strong and stylish and lifelong, you have to get your hands to understand what I mean",1
It does not matter if you do not have the money to buy it,1
Powerful system and great facilities do not have much to cook,0
The size is too large and not suitable for everyday use,0
"At lower prices, these products can be better off and not worth buying",0
It is not high quality and powerful,1
There is nothing to say about it in comparison to duplicate rivals without creativity,0
Design is beautiful and well-designed,1
"Most of the money is branded, or else the rest of the competition is better",0
Excellent high-speed display. Stylish and beautiful battery,1
"Similar to the previous generation, not having a fast charging price",0
Extremely large body design and high-speed unique phone,1
It is always innovative in various fields and special brand and luxury,1
Superior technology has made it unrivaled,1
Higher prices make it worse,0
Precision camera with gigantic and quality display,1
The protruding camera out of the body of the lack of specific innovation over the previous generation,0
It's not worth the purchase because the screen and the camera are poor,0
It is very horny and attractive and beautiful,1
Its exterior design has a lot of charm that is considered a positive point,1
I was surprised by the high power and good functioning of the device,1
"The high price makes it impossible for Iran to buy it, I wish it was not grown",0
"It does not have the ability to compete with new and up-to-date models and overall has a moderate, and perhaps even weak, quality.",0
It would have been better if the camera had a dual standby or more chargeable capacity,0
"Unfortunately, after a week of using the product, I'm not happy about its quality",0
Weak and poor support when you buy if you do not care about the warranty and the provider,0
I regret buying this product and decide to post it.,0
"The way the device works is not good and the customer is not satisfied, its makers must be responsive",0
"How long you use it, you fall in love and you can not leave it alone",1
The accuracy of the sensors could be better now is a little weak and not satisfactory,0
Good and efficient. Summarizing everything is great,1
"A wholesome and interesting product. If you get higher prices, do not hesitate to buy",1
"The price for us in Iran is excessive, but I think it's worth the purchase because it's a full-fledged phone",1
"Its a good camera, but it does not matter to me about the battery, and it's good to keep charging",1
"Everything is great and, as always, its products are good and efficient",1
You can use two SIM cards simultaneously. This is good news for us,1
"No matter how good it is, not too much money. Unfortunately, only rich people can buy it",0
great image recognition Faster Unique Page Quality,1
Hardware Compatibility with the Operating System ease of use of the handset,1
Beautifully designed long-term psychological design,1
It's old and it's not used in the past,0
Its quality is downgraded and not supported,0
Consumers of this product will experience a severe decline in performance after a few years,0
No grunge is not without reason. The superiority of this can not be ignored cause it's good,1
Shelf life is a very important product that has a brilliant background in this field,1
"The competitors are better, so take less money and buy them that your money is not worse",0
There is only lacquer but it's not great. It's not worth it,0
It's just out of sight and it's not used here. Everyone is full of restrictions,0
No bias Be logical it is not a good choice,0
"The display quality is high, but it's a lot big, and it's not enough for this screen",0
Good build quality and gold-resisting body,1
The high speed and fluidity of the system are up-to-date and luxury,1
